city,route,num_nodes,num_edges,avg_degree,median_duration,diameter,density,top_in_degree_nodes,bottom_in_degree_nodes,top_out_degree_nodes,bottom_out_degree_nodes
sydney,bus,19659,27142,1.3806399104735745,0.9267173864399195,inf,7.023297947266122e-05,"[('Overpass North Pde Near Carlisle Av', 10)]","[('Glenfield Dr - Opp.No.31', 1)]","[('Overpass North Pde Near Carlisle Av', 10)]","[('Glenfield Dr - Opp.No.31', 1)]"
sydney,ferry,81,240,2.962962962962963,8.9,inf,0.037037037037037035,"[('Circular Quay, Wharf 4', 9)]","[('Empire Bay Wharf', 1)]","[('Circular Quay, Wharf 4', 10)]","[('Empire Bay Wharf', 1)]"
toulouse,tram,27,52,1.9259259259259258,2.0,23.0,0.07407407407407407,"[('Ancely', 3)]","[('Aéroconstellation', 1)]","[('Ancely', 3)]","[('Aéroconstellation', 1)]"
toulouse,subway,37,72,1.945945945945946,1.0,23.0,0.05405405405405406,"[('Jean Jaurès', 4)]","[('Basso Cambo', 1)]","[('Jean Jaurès', 4)]","[('Basso Cambo', 1)]"
toulouse,bus,1497,3413,2.279893119572478,1.0,42.0,0.0015239927269869507,"[('Stade', 11)]","[('Gare routière', 1)]","[('Stade', 11)]","[('Gare routière', 1)]"
turku,bus,927,2137,2.3052858683926645,0.7397959183673469,inf,0.00248950957709791,"[('Vähäheikkiläntie', 11)]","[('Leipäläntie', 1)]","[('Vähäheikkiläntie', 11)]","[('Leipäläntie', 1)]"
venice,tram,38,72,1.894736842105263,1.0,27.0,0.051209103840682786,"[('La Piazza', 2)]","[('Favaro', 1)]","[('Olivi', 3)]","[('Favaro', 1)]"
venice,bus,1044,2354,2.2547892720306515,1.0,inf,0.0021618305580351402,"[('Cimitero', 15)]","[('Mira Scuole Civ.16', 1)]","[('Cimitero', 19)]","[('Mira Scuole Civ.16', 1)]"
venice,ferry,119,267,2.2436974789915967,5.0,inf,0.01901438541518302,"[('Zattere SX', 5)]","[('Zitelle DX', 1)]","[('Zattere SX', 6)]","[('F.te Nove ""A""', 1)]"
winnipeg,bus,5065,5838,1.1526159921026653,0.5919966583124477,inf,0.0002276097930692467,"[('Southbound Polo Park Terminal at Polo Park (All Routes)', 7)]","[('Northbound Waverley at Bishop Grandin', 1)]","[('Southbound Empress at Eastway', 7)]","[('Eastbound Bishop Grandin at River', 1)]"
